Name,Number of Records,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Afghanistan,789,"1,241","3,541","3,099","6,387",70,"2,50,67,407",220,220,32
Albania,"1,626","4,513","7,228","11,414","40,238",26,"31,53,731",75,42,197
Algeria,"14,174","48,699","1,24,160","6,150","7,724",65,"3,28,54,159",197,213,35
American Samoa,23,33,63,"8,488","22,792",62,"64,051",156,111,38
Andorra,45,83,110,"18,160","72,764",39,"73,483",9,6,112
Angola,569,803,"2,273","8,575","19,426",53,"1,60,95,214",155,139,51
Anguilla,37,52,82,"8,939","22,559",41,"12,256",140,115,101
Antigua and Barbuda,234,681,"1,395","9,778","31,282",44,"83,039",115,71,89
Argentina,"23,114","51,313","85,640","8,627","22,220",47,"3,87,47,148",151,120,68
Armenia,"3,017","10,724","19,065","10,145","23,762",26,"30,17,661",101,105,197
Aruba,172,430,747,"20,689","58,306",24,"1,02,897",4,16,212
Australia,"51,465","1,69,987","3,10,935","13,286","62,428",28,"2,03,10,208",40,13,181
Austria,"26,193","60,728","1,12,661","13,816","47,433",30,"82,91,979",31,23,169
Azerbaijan,"4,513","13,405","21,219","11,564","25,654",31,"83,52,021",73,94,162
Bahamas,426,761,"1,287","12,528","30,365",43,"3,23,295",57,78,92
Bahrain,985,"9,498","18,916","13,713","39,758",22,"7,24,788",34,45,219
Bangladesh,"15,477","40,687","80,031","6,562","9,772",48,"1,53,28,112",191,207,62
Barbados,111,153,244,"10,940","32,475",29,"2,91,933",87,65,176
Belarus,"13,692","42,510","83,698","8,180","14,041",36,"97,95,287",164,178,129
Belgium,"10,339","15,383","22,706","13,696","46,409",30,"1,03,98,049",35,26,169
Belize,370,627,958,"8,595","20,759",30,"2,75,546",154,129,169
Benin,453,804,"2,994","6,491","13,238",62,"84,90,301",192,190,38
Bermuda,40,64,95,"11,845","34,743",32,"64,174",69,57,155
Bhutan,191,337,631,"8,661","14,656",47,"6,37,013",148,174,68
Bolivia,"4,890","21,195","35,670","9,092","14,724",40,"91,82,015",134,173,108
Bosnia and Herzegovina,"5,143","12,321","20,031","11,719","27,837",29,"39,15,238",71,87,176
Botswana,556,982,"2,705","7,839","15,184",47,"18,35,938",173,169,68
Brazil,"1,21,275","5,45,849","9,57,927","7,582","20,984",54,"18,68,30,759",177,128,49
British Virgin Islands,61,131,293,"10,120","22,671",68,"22,016",104,113,33
Brunei Darussalam,"1,040","5,412","10,621","12,950","24,889",23,"3,73,831",49,100,215
Bulgaria,"6,477","17,390","28,265","13,489","51,529",30,"77,44,591",37,19,169
Burkina Faso,381,591,"1,506","8,840","16,323",63,"1,39,33,363",143,161,36
Burma,"13,656","37,779","92,813","12,632","20,255",37,"4,79,67,266",55,133,121
Burundi,109,176,501,"6,992","11,227",33,"78,58,791",185,199,148
Cambodia,"8,606","28,605","67,240","11,186","13,430",40,"1,39,55,507",81,186,108
Cameroon,639,"1,232","10,573","8,931","18,634",33,"1,77,95,149",141,144,148
Canada,"42,206","74,154","1,23,461","12,885","74,220",37,"3,22,70,507",50,4,121
Cape Verde,96,292,609,"13,823","22,890",34,"5,06,807",30,110,137
Cayman Islands,62,107,218,"7,348","23,388",38,"45,591",178,107,116
Central African Republic,27,32,177,"2,656","5,778",303,"41,91,429",222,221,2
Chad,91,180,455,"6,419","9,838",47,"1,01,45,609",194,206,68
Chile,"21,153","87,886","1,87,789","9,920","17,244",47,"1,62,95,102",109,157,68
China,"2,81,945","6,66,724","14,81,412","18,508","62,186",34,"1,31,29,78,855",8,14,137
Colombia,"12,346","69,986","1,35,806","8,782","15,858",55,"44,94,579",145,166,46
Comoros,39,64,162,"12,029","24,961",149,"7,97,902",62,99,9
